source_tweet,target_user,type
323908343439691776,@nerdist,mention
323908343439691776,@nerdist,retweet
323908393779728385,@mozzaharrystick,mention
323908393779728385,@mozzaharrystick,retweet
323908469285588993,@BostonGlobe,mention
323908469285588993,@BostonGlobe,retweet
323908641235279873,@MillieSabrina,mention
323908641235279873,@KeatonStromberg,mention
323908641235279873,@MillieSabrina,retweet
323908842566086656,@firstduephotos,mention
323908842566086656,@firstduephotos,retweet
323908850946281473,@TheAtlanticWire,mention
323908850946281473,@TheAtlanticWire,retweet
323908905484832768,@tracywatkins,mention
323908905484832768,@tracywatkins,retweet
323909119377559552,@MakaylaOwens2,mention
323909119377559552,@ohabioh,mention
323909119377559552,@MakaylaOwens2,retweet
323909136154775552,@josephstamper,mention
323909136154775552,@josephstamper,retweet
323909148741890048,@benfergusonshow,mention
323909148741890048,@benfergusonshow,retweet
323909148746059776,@CarsonRapsilver,mention
323909148746059776,@CarsonRapsilver,retweet
323909203288813568,@Eoghan_Curran,mention
323909203288813568,@Eoghan_Curran,retweet
323909295571861504,@Real_Liam_Payne,mention
323909459145547777,@SportsCenter,mention
323909459145547777,@SportsCenter,retweet
323909488480509952,@mishacollins,mention
323909488480509952,@brm90,mention
323909488480509952,@mishacollins,retweet
323909568176472064,@FoxNews,mention
323909568176472064,@FoxNews,retweet
323909580784533505,@BostonTweet,mention
323909580784533505,@BostonTweet,retweet
323909673029873665,@subaru_usa,mention
323909673029873665,@subaru_usa,retweet
323910134399115265,@kwild,mention
323910134399115265,@emamd,mention
323910432228253696,@google,mention
323910432228253696,@google,retweet
323911141036290048,@iiTalk_uDont,mention
323911141036290048,@DrayaFace,mention
323911304639295489,@BostonGlobe,mention
323911304639295489,@cmcloutier,mention
323911304639295489,@BostonGlobe,retweet
323911359156871170,@seanwbu,mention
323911690502696960,@google,mention
323911690502696960,@google,retweet
323911736656793601,@AnnCurry,mention
323911736656793601,@AnnCurry,retweet
323911749231312896,@Cadizzlemore,mention
323911749231312896,@Cadizzlemore,retweet
323912126710312962,@YahooNews,mention
323912126710312962,@YahooNews,retweet
323912177029378048,@MyJustinQuotes,mention
323912177029378048,@MyJustinQuotes,retweet
323912302883639296,@franagudo,mention
323912302883639296,@franagudo,retweet
323912617443872769,@emitoms,mention
323912617443872769,@emitoms,retweet
323913158492303360,@Connor_Eli,mention
323913158492303360,@Connor_Eli,retweet
323913187856613377,@todayshow,mention
323913187856613377,@todayshow,retweet
323913603109490688,@Josh_Vintson,mention
323913603109490688,@Josh_Vintson,retweet
323913829601914881,@we_believejb,mention
323913829601914881,@we_believejb,retweet
323913858949472256,@GordonEdes,mention
323914110620274688,@TheCoachESPN,mention
323914110620274688,@TheCoachESPN,retweet
323914479706464256,@glvredcross,mention
323914479706464256,@glvredcross,retweet
323915029168672768,@snugglinghazza,mention
323915029168672768,@snugglinghazza,retweet
323915171770798080,@CBSSports,mention
323915247259877377,@samantha_june3,mention
323915247259877377,@Darkskin,mention
323915247259877377,@samantha_june3,retweet
323915247259877377,@Darkskin,retweet
323915364717195264,@emitoms,mention
323915364717195264,@emitoms,retweet
323915398288379905,@JMaxey97,mention
323915398288379905,@JMaxey97,retweet
323915771543683073,@hannadianee,mention
323915771543683073,@hannadianee,retweet
323915863851937792,@BiebersRobot,mention
323915863851937792,@BiebersRobot,retweet
323916086116487168,@NBCLA,mention
323916086116487168,@NBCLA,retweet
323916149039452160,@BryanJacoutot,mention
323916149039452160,@BryanJacoutot,retweet
323916459417931779,@Jades_BowtiesLM,mention
323916459417931779,@definitelylouis,mention
323916459417931779,@Jades_BowtiesLM,retweet
323917138886815744,@mylifeasafemale,mention
323917138886815744,@mylifeasafemale,retweet
323917424112054275,@twhiddleston,mention
323917424112054275,@twhiddleston,retweet
323917612864114688,@HuffingtonPost,mention
323917612864114688,@HuffingtonPost,retweet
323917763850686464,@KrisSanchez,mention
