User,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
#afc,0.013071895424836602,0.013071895424836602,0.0,1.782695557348088e-19
#terrorism,0.006535947712418301,0.25279593318809007,0.0,0.032183099690910974
#prayfortexas,0.006535947712418301,0.20496967555791087,0.0,0.008853535931770623
#coverup,0.013071895424836602,0.2692501063541788,0.0,0.05904533334303128
#monthrufri,0.013071895424836602,0.23886229907536072,0.0,0.031072609739692725
#Jihad,0.013071895424836602,0.2692501063541788,0.0,0.05904533334303128
#RT,0.013071895424836602,0.2783074493813835,0.007957803004242632,0.0890549630487053
#BostonMarathon,0.22222222222222224,0.40993935111582175,0.3542225662194703,0.3909417961523269
#Immigration,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#Sryia,0.013071895424836602,0.22638441778037915,0.0,0.03507482736686375
#mcfc,0.006535947712418301,0.006535947712418301,0.0,2.4183440077658845e-26
#Marathon,0.013071895424836602,0.25420820097126373,0.010061919504643963,0.032746910646634014
#Bostonmarathon,0.006535947712418301,0.19913902833197467,0.0,0.007791742843363237
#prayforboston,0.16339869281045752,0.37145524876617314,0.1707244008714595,0.47922896281283617
#world,0.006535947712418301,0.006535947712418301,0.0,2.4183440077658845e-26
#USArmy,0.006535947712418301,0.23335009217362157,0.0,0.026175133382271485
#ows,0.0196078431372549,0.0196078431372549,0.0,1.3294986782505016e-14
#pray,0.0196078431372549,0.23949088407292746,0.0,0.036600356814573534
#BostonHelp,0.013071895424836602,0.2535001001329037,0.0,0.03704377038412103
#bostonbombing,0.006535947712418301,0.22582266984544025,0.0,0.03047262101161117
#Boston,0.11111111111111112,0.3745124936119853,0.16669389978213506,0.24527215620180068
#bomblast,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#prayforsomalia,0.032679738562091505,0.25420820097126373,0.0,0.13233258925705704
#marathon,0.006535947712418301,0.25279593318809007,0.0,0.032183099690910974
#watertown,0.013071895424836602,0.23394996387586742,0.0,0.03012862268002343
#YAN,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#BCEagles,0.006535947712418301,0.25279593318809007,0.0,0.032183099690910974
#BostonBombing,0.026143790849673203,0.2741160721316639,0.019951840385276916,0.061674142322267415
#NHLBruins,0.006535947712418301,0.268455858252839,0.0,0.05129761568052439
#Wa,0.006535947712418301,0.25279593318809007,0.0,0.032183099690910974
#Manhunt,0.0196078431372549,0.2741160721316639,0.019951840385276916,0.06044933050537778
#Steubenville,0.006535947712418301,0.006535947712418301,0.0,2.4183440077658845e-26
#CCOT,0.0196078431372549,0.0196078431372549,0.0,1.3294986782505016e-14
#bostonmarathon,0.12418300653594772,0.31820467114584766,0.141005905286091,0.2322405851010567
#prayforiraq,0.006535947712418301,0.25139927057379124,0.0,0.06287982966643384
#Helltotheyeah,0.013071895424836602,0.2692501063541788,0.0,0.05904533334303128
#WCVB,0.0196078431372549,0.2741160721316639,0.0,0.07211859775098478
#music,0.032679738562091505,0.032679738562091505,0.0,9.800472470444205e-08
#lifealtering,0.006535947712418301,0.25139927057379124,0.0,0.06287982966643384
#FBI,0.0196078431372549,0.2700490680941021,0.004600963192294463,0.06381952038632674
